Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C14, C16, C18, C3, C4, C5, C6, C7",603,11,100nF,C14663
"C12, C13",603,2,22uF,C59461
C15,603,1,10uF,C96446
"C17, C8, C9",603,3,1uF,C15849
C2,603,1,12pF,C38523
D1,603,1,YELLOW,C72038
"D2, D3, D4, D5",D_SOD-123,4,D_Schottky,C8598
"F1, F2",805,2,1A,C468888
FID1,Fiducial_0.5mm_Mask1mm,1,Fiducial,N/A
J1,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02,N/A
J2,TF01A,1,TF003,C5155563 
J4,PinHeader_1x04_P2.54mm_Horizontal,1,Conn_01x04,N/A
J5,PinHeader_2x25-2_P2.00mm_straddle,1,SCSI_50-2P_2mm,N/A
J6,IDC-Header_2x25_P2.54mm_Horizontal,1,SCSI_50P_2.54mm,N/A
JP3,PinHeader_2x01_P2.54mm_Vertical,1,Jumper_2_Open,N/A
L1,603,1,Ferrite_Bead_Small,C1002
L2,L_Vishay_IHLP-2525,1,2.2uH,C540967
"Q1, Q10, Q11, Q12, Q13, Q14, Q15, Q16, Q17, Q18, Q2, Q3, Q4, Q5, Q6, Q7, Q8, Q9",SOT-23,18,AO3401A,C15127
"R1, R10, R11, R12, R13, R18, R2, R3, R40, R43, R5, R7, R8, R9",603,14,4k7,C23162
R14,603,1,510,C23193
"R15, R17, R19, R20, R21, R4, R6",603,7,1k,C21190
"R16, R22, R23, R24, R25, R26, R27, R28, R29, R30, R31, R32, R33, R34, R35, R36, R37, R38, R39",603,19,110,C22781
R41,603,1,31k6,C25967
R42,603,1,10k,C25804
R44,603,1,120,C22787 
R45,603,1,150,C22808
SW1,SW_DIP_SPSTx03_Slide_6.7x9.18mm_W8.61mm_P2.54mm_LowProfile,1,SW_DIP_x03,C2842910
U1,RPi_Pico_W_SMD_TH,1,Pico W,C7203003
"U2, U3",SSOP-20_5.3x7.2mm_P0.65mm,2,74LVT245,C2652121
U4,SOT-23-5,1,74AHCT1G125,C12494
"U5, U6",TSSOP-14_4.4x5mm_P0.65mm,2,74LVT125,C7042
U7,SOT-223-3_TabPin2,1,AZ1117-ADJ,C347224 
U8,TSOT-23-6,1,AP62250WU,C5184228
