Designator,Mid X,Mid Y,Rotation,Layer
C1,84.504,-117.822,270,top
C10,100.607,-96.851,0,top
C11,104.362,-98.451,0,top
C12,90.81,-109.481,270,top
C13,89.159,-109.481,270,top
C14,96.017,-102.991,270,top
C15,93.363,-95.879,0,top
C16,87.508,-109.494,270,top
C17,93.376,-97.53,0,top
C18,93.363,-99.181,0,top
C2,91.19,-72.149,0,top
C3,98.556,-72.149,180,top
C4,61.091,-72.149,180,top
C5,73.1898,-73.292,180,top
C6,85.077,-73.292,180,top
C7,81.171815,-82.018,270,top
C8,100.607,-95.2,0,top
C9,104.375,-96.8,0,top
D1,47.268,-136.411,0,top
D2,95.508,-87.008,90,top
D3,92.968,-87.008,90,top
D4,87.888,-87.008,90,top
D5,90.428,-87.008,90,top
F1,75.188,-63.386,270,top
F2,88.015,-94.12,0,top
FID1,107.3,-134.7,0,top
FID2,42.75,-134.75,0,top
FID3,107.25,-46.15,0,top
J2,87.1,-126.4,0,top
L1,87.888,-90.818,0,top
L2,88.016,-103.385,270,top
Q1,45.888,-68.8195,270,top
Q10,81.448,-65.0095,270,top
Q11,86.528,-65.0095,270,top
Q12,89.068,-68.8195,270,top
Q13,91.608,-65.0095,270,top
Q14,94.148,-68.8195,270,top
Q15,96.688,-65.0095,270,top
Q16,99.228,-68.8195,270,top
Q17,101.768,-65.0095,270,top
Q18,104.308,-68.8195,270,top
Q2,48.428,-65.0095,270,top
Q3,50.968,-68.8195,270,top
Q4,53.508,-65.0095,270,top
Q5,56.048,-68.8195,270,top
Q6,58.588,-65.0095,270,top
Q7,61.128,-68.8195,270,top
Q8,63.668,-65.0095,270,top
Q9,66.208,-68.8195,270,top
R1,89.838,-117.822,90,top
R10,68.7832,-73.292,180,top
R11,76.6186,-77.978,180,top
R12,83.711815,-81.129,0,top
R13,80.6704,-73.292,180,top
R14,47.248,-134.379,0,top
R15,101.346,-72.4916,90,top
R16,90.171,-74.943,90,top
R17,101.35,-75.578,90,top
R18,86.460615,-81.8896,270,top
R19,66.04,-76.9112,90,top
R2,88.314,-117.822,90,top
R20,89.408,-77.2668,180,top
R21,89.408,-78.8416,180,top
R22,45.888,-61.087,270,top
R23,48.428,-61.087,270,top
R24,50.968,-61.087,270,top
R25,53.508,-61.087,270,top
R26,56.048,-61.087,270,top
R27,58.588,-61.087,270,top
R28,61.128,-61.087,270,top
R29,63.668,-61.087,270,top
R3,86.79,-117.822,90,top
R30,66.208,-61.087,270,top
R31,81.448,-61.087,270,top
R32,86.528,-61.087,270,top
R33,89.068,-61.087,270,top
R34,91.608,-61.087,270,top
R35,94.148,-61.087,270,top
R36,96.688,-61.087,270,top
R37,99.228,-61.087,270,top
R38,101.768,-61.087,270,top
R39,104.308,-61.087,270,top
R4,98.789068,-122.0094,270,top
R40,81.475,-68.72,180,top
R41,93.223,-106.293,0,top
R42,96.334,-106.293,0,top
R43,103.767468,-122.0094,90,top
R44,107.188,-103.124,270,top
R45,107.188,-99.822,270,top
R5,82.841,-117.822,90,top
R6,102.108,-122.0094,270,top
R7,81.317,-117.822,90,top
R8,95.4146,-72.136,0,top
R9,100.448534,-122.0094,90,top
SW1,101.2952,-129.4254,90,top
U1,62.996,-111.7266,90,top
U2,58.424,-76.899,270,top
U3,95.762,-76.899,270,top
U4,83.711815,-84.05,270,top
U5,71.153333,-76.899,270,top
U6,83.032666,-76.899,270,top
U7,102.388,-103.749,90,top
U8,93.35,-102.229,90,top
