Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C4",0603,2,4.7μF,C19666
"C10, C27, C5",0402,3,4.7μF,C23733
"C11, C13, C14, C15, C16, C17, C18, C19, C28, C6, C8, C9",0402,12,100nF,C307331
C12,0402,1,1μF,C52923
"C2, C3",0402,2,15pF,C1548
"C20, C35",1206,2,47μF,C96123
C21,0603,1,12pF,C38523
"C22, C23, C24, C25, C26, C32, C33",0603,7,100nF,C14663
"C29, C30, C7",0603,3,10μF,C96446
"C31, C34",0603,2,1μF,C15849
"D1, D2, D3, D4",D_SOD-123,4,1N5819,C82544
D5,0603,1,YELLOW,C72038
"F1, F2",0805,2,1A,C468888
FID1,Fiducial_0.5mm_Mask1mm,1,Fiducial,N/A
J1,PinHeader_2x25-2_P2.00mm_straddle,1,SCSI_50-2P_2mm,N/A
J1.1,IDC-Header_2x25_P2.54mm_Horizontal,1,SCSI_50P_2.54mm,N/A
J2,TF01A,1,TF003,C5155563 
J3,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,GCT-4105,C2927038
J4,JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal,1,SM03B-SRSS-TB,C160403
J4.1,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04,N/A
J5,PinHeader_1x04_P2.54mm_Horizontal,1,Conn_01x04,N/A
J6,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02,N/A
"JP1, JP2",PinHeader_2x01_P2.54mm_Vertical,2,Jumper_2_Open,N/A
L1,L_Abracon_AOTA-B2016,1,3.3μH,C42411119
L2,1008,1,1μH,C5832356
M1,RPi_RM2,1,~,N/A
"Q1, Q10, Q11, Q12, Q13, Q14, Q15, Q16, Q17, Q18, Q2, Q3, Q4, Q5, Q6, Q7, Q8, Q9",SOT-23,18,AO3401A,C15127
"R1, R4",0402,2,1kΩ,C11702
"R10, R11, R12, R18, R19, R20, R21, R22, R29, R5, R6, R7, R8, R9",0603,14,4.7kΩ,C23162
"R13, R14, R17, R26, R27, R28, R30, R55",0603,8,1kΩ,C21190
"R15, R16, R3",0402,3,22Ω,C25092
R2,0402,1,4.7kΩ,C25900
"R23, R24",0402,2,5.1kΩ,C25905
"R25, R31, R32, R33, R34, R35, R36, R37, R38, R39, R40, R41, R42, R43, R44, R45, R46, R47, R48",0603,19,110Ω,C22781
"R49, R54",0402,2,10kΩ,C25744
R50,0402,1,442kΩ,C5101
R51,0402,1,100kΩ,C25741
R52,0603,1,0Ω,C21189
R53,0603,1,~,N/A
R56,0402,1,470Ω,
SW1,SW_DIP_SPSTx04_Slide_6.7x11.72mm_W8.61mm_P2.54mm_LowProfile,1,SW_DIP_x04,C5160841
U1,RP2350-QFN-60-1EP_7x7_P0.4mm_EP3.4x3.4mm_ThermalVias,1,RP235x_60QFN,C41378174
U10,SOT-223-3_TabPin2,1,AZ1117-2.85,C14791
U2,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,C97521
U3,SOT-23-6,1,USB TVS,C2827654
"U4, U5",SSOP-20_5.3x7.2mm_P0.65mm,2,74LVTH245,C2652121
"U6, U7",TSSOP-14_4.4x5mm_P0.65mm,2,74LVTH125,C7042
U8,SOT-23-5,1,SN74AHC1G125DBVR,C7468
U9,SOT-23-5,1,TLV62569DBV,C141836
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12MHz,C20625731
