Designator,Mid X,Mid Y,Rotation,Layer
C1,65.4,-110.975,270,top
C10,60.55,-113.75,270,top
C11,53.5,-109.25,180,top
C12,64.2,-113.75,270,top
C13,63.75,-102,90,top
C14,58.25,-102,90,top
C15,53.5,-106.75,180,top
C16,53.75,-112.75,180,top
C17,59.55,-113.75,270,top
C18,63.2,-113.75,270,top
C19,66,-108,0,top
C2,50.5,-104.5,0,top
C20,94.25,-104.25,0,top
C21,84.75,-73.75,270,top
C22,59.25,-71.5,0,top
C23,96.75,-71.5,0,top
C24,83.75,-84.25,0,top
C25,69.75,-71.5,180,top
C26,81.975,-71.5,180,top
C27,81.25,-102.855,270,top
C28,87.75,-106,180,top
C29,87.75,-109,180,top
C3,50.5,-110.5,180,top
C30,87.75,-107.5,180,top
C31,88.25,-98.5,180,top
C32,88.25,-97,180,top
C33,88.25,-95.5,180,top
C34,88.25,-94,180,top
C35,94.25,-101.75,0,top
C4,67,-110.975,270,top
C5,65.2,-113.75,270,top
C6,71.75,-103.52,90,top
C7,79.5,-116.5,180,top
C8,59.25,-120,90,top
C9,60.75,-102,90,top
D1,83.5,-92,0,top
D2,83.5,-97,0,top
D3,83.5,-89.525,0,top
D4,83.5,-94.5,0,top
D5,38,-132.75,270,top
F1,83.25,-87.25,0,top
F2,83.225,-99.275,0,top
FID1,38.345,-44.79,0,top
FID2,102.095,-48.04,0,top
FID3,103.25,-133.5,0,top
J1,70.325,-41.665,90,top
J1.1,70.325,-54.27,90,top
J2,81.5,-124.5,0,top
J3,59.75,-130,0,top
J4,68.5,-132,0,top
J4.1,66.56,-123,270,top
J5,45,-88.69,180,top
J6,43.75,-110.73,0,top
JP1,79.25,-90.27,270,top
JP2,79.25,-96.73,90,top
L1,68.8,-110.975,270,top
L2,88,-103.5,270,top
M1,46,-119,180,top
PCB1,105,-135.5,0,top
Q1,41.115,-66.97,270,top
Q10,79.215,-66.97,270,top
Q11,81.755,-63.795,270,top
Q12,84.295,-66.97,270,top
Q13,86.835,-63.795,270,top
Q14,89.375,-66.97,270,top
Q15,91.915,-63.795,270,top
Q16,94.455,-66.97,270,top
Q17,96.995,-63.795,270,top
Q18,99.535,-66.97,270,top
Q2,43.655,-63.795,270,top
Q3,46.195,-66.97,270,top
Q4,48.735,-63.795,270,top
Q5,51.275,-66.97,270,top
Q6,53.815,-63.795,270,top
Q7,56.355,-66.97,270,top
Q8,58.895,-63.795,270,top
Q9,61.435,-66.97,270,top
R1,71.75,-100.5,270,top
R10,97.75,-120.24,90,top
R11,99.25,-120.24,90,top
R12,102.5,-68,90,top
R13,96,-120.25,270,top
R14,92.5,-120.25,270,top
R15,69.1,-107.8,180,top
R16,69.1,-108.8,180,top
R17,99.25,-76.825,270,top
R18,84.75,-115.75,90,top
R19,83.25,-115.75,90,top
R2,71.75,-98.5,90,top
R20,81.75,-115.75,90,top
R21,77.25,-115.75,90,top
R22,75.75,-115.75,90,top
R23,62,-125.75,0,top
R24,57.25,-125.75,180,top
R25,86.25,-73.75,90,top
R26,97.75,-76.825,90,top
R27,62,-76,90,top
R28,85.5,-76,180,top
R29,85.5,-77.5,0,top
R3,66.4,-113.75,270,top
R30,71.75,-77.325,90,top
R31,41.115,-59.35,270,top
R32,43.655,-59.35,270,top
R33,46.195,-59.35,270,top
R34,48.735,-59.35,270,top
R35,51.275,-59.35,270,top
R36,53.815,-59.35,270,top
R37,56.355,-59.35,270,top
R38,58.895,-59.35,270,top
R39,61.435,-59.35,270,top
R4,53.5,-108.25,180,top
R40,79.215,-59.35,270,top
R41,81.755,-59.35,270,top
R42,84.295,-59.35,270,top
R43,86.835,-59.35,270,top
R44,89.375,-59.35,270,top
R45,91.915,-59.35,270,top
R46,94.455,-59.35,270,top
R47,96.995,-59.35,270,top
R48,99.535,-59.35,270,top
R49,84.75,-107,180,top
R5,63.75,-71.5,180,top
R50,84.75,-109,180,top
R51,84.75,-108,0,top
R52,88.25,-92.5,0,top
R54,56,-123,270,top
R55,43.5,-114.75,0,top
R56,55,-123,270,top
R6,97.75,-73.75,90,top
R7,81,-80.5,270,top
R8,76,-71.5,180,top
R9,94.25,-120.24,90,top
SW1,97.5,-128,90,top
U1,59.75,-108.25,270,top
U10,95.9,-95.5,180,top
U3,59.25,-123,0,top
U4,54.345,-76.04,270,top
U5,91.845,-76.04,270,top
U6,66.845,-76.04,270,top
U7,79.345,-76.04,270,top
U8,84.25,-81.75,0,top
U9,84,-103.25,0,top
Y1,50.5,-107.5,90,top
