Designator,Rotation
C1,270
C10,0
C11,0
C12,270
C13,270
C14,270
C15,0
C16,270
C17,0
C18,0
C2,0
C3,180
C4,180
C5,180
C6,180
C7,270
C8,0
C9,0
D1,0
D2,90
D3,90
D4,90
D5,90
F1,270
F2,0
FID1,0
FID2,0
FID3,0
J2,0
L1,0
L2,270
Q1,270
Q10,270
Q11,270
Q12,270
Q13,270
Q14,270
Q15,270
Q16,270
Q17,270
Q18,270
Q2,270
Q3,270
Q4,270
Q5,270
Q6,270
Q7,270
Q8,270
Q9,270
R1,90
R10,180
R11,180
R12,0
R13,180
R14,0
R15,90
R16,90
R17,90
R18,270
R19,90
R2,90
R20,180
R21,180
R22,270
R23,270
R24,270
R25,270
R26,270
R27,270
R28,270
R29,270
R3,90
R30,270
R31,270
R32,270
R33,270
R34,270
R35,270
R36,270
R37,270
R38,270
R39,270
R4,270
R40,180
R41,0
R42,0
R43,90
R44,270
R45,270
R5,90
R6,270
R7,90
R8,0
R9,90
SW1,90
U1,90
U2,270
U3,270
U4,270
U5,270
U6,270
U7,90
U8,90
