Designator,Mid X,Mid Y,Rotation,Layer
C1,93.321,-44.4588,270,bottom
C12,106.239,-29.718,270,bottom
C13,107.95,-29.731,270,bottom
C14,117.922,-30.6,90,bottom
C15,115.57,-37.8335,0,bottom
C16,109.668,-29.718,270,bottom
C17,115.57,-36.0555,0,bottom
C18,115.57,-34.2775,0,bottom
C2,89.531,-57.6998,270,bottom
C3,91.817,-48.0348,270,bottom
C4,111.099,-48.006,270,bottom
C5,101.447,-48.006,270,bottom
C6,82.296,-48.006,270,bottom
C7,82.804,-41.161,270,bottom
D1,72.263,-28.956,90,bottom
D2,114.3,-59.8258,0,bottom
D3,114.3,-62.484,0,bottom
D4,114.3,-65.1598,0,bottom
F1,109.22,-64.262,90,bottom
F2,114.554,-57.15,180,bottom
FID1,118.086,-69.8588,180,bottom
FID2,104.116,-27.9488,180,bottom
FID3,67.286,-67.3188,180,bottom
J2,93.6,-36,180,bottom
J6,92.566,-69.1388,0,top
JP1,112.776,-68.58,0,top
L1,117.856,-57.15,270,bottom
L2,112.014,-30.4675,90,bottom
R1,70.612,-31.115,90,bottom
R10,109.575,-57.658,90,bottom
R11,96.367,-44.831,270,bottom
R12,80.264,-38.735,180,bottom
R13,79.629,-55.372,0,bottom
R14,74.041,-28.956,270,bottom
R15,88.261,-43.8438,180,bottom
R16,91.055,-57.6998,90,bottom
R17,88.261,-45.3678,0,bottom
R18,79.502,-45.3678,0,bottom
R19,98.399,-55.372,0,bottom
R2,68.072,-31.115,90,bottom
R20,77.201,-56.108842,90,bottom
R21,97.891,-44.831,270,bottom
R22,95.25,-64.516,90,bottom
R23,95.25,-61.468,90,bottom
R24,96.774,-64.516,90,bottom
R25,96.774,-61.468,90,bottom
R26,98.298,-64.516,90,bottom
R27,98.298,-61.468,90,bottom
R28,99.822,-64.516,90,bottom
R29,99.822,-61.468,90,bottom
R3,81.026,-31.115,90,bottom
R30,101.346,-64.516,90,bottom
R31,101.346,-61.468,90,bottom
R32,102.87,-64.516,90,bottom
R33,102.87,-61.468,90,bottom
R34,104.394,-64.516,90,bottom
R35,104.394,-61.468,90,bottom
R36,105.918,-64.516,90,bottom
R37,105.918,-61.468,90,bottom
R38,93.726,-64.516,90,bottom
R39,93.726,-61.468,90,bottom
R4,68.707,-64.135,90,bottom
R41,112.842,-28.06,0,bottom
R42,115.953,-28.06,0,bottom
R43,83.816,-58.039,0,bottom
R44,83.566,-64.516,90,bottom
R45,86.614,-64.516,90,bottom
R46,85.09,-64.516,90,bottom
R47,82.042,-64.516,90,bottom
R48,77.47,-64.516,90,bottom
R49,88.138,-64.516,90,bottom
R5,77.851,-31.115,90,bottom
R50,78.994,-64.516,90,bottom
R51,75.946,-64.516,90,bottom
R52,80.518,-64.516,90,bottom
R53,83.566,-61.468,90,bottom
R54,86.614,-61.468,90,bottom
R55,85.09,-61.468,90,bottom
R56,82.042,-61.468,90,bottom
R57,77.47,-61.468,90,bottom
R58,88.138,-61.468,90,bottom
R59,78.994,-61.468,90,bottom
R6,71.247,-64.135,90,bottom
R60,75.946,-61.468,90,bottom
R61,80.518,-61.468,90,bottom
R7,75.692,-31.115,90,bottom
R8,91.817,-51.372,90,bottom
R9,71.247,-60.579,90,bottom
SW1,69.977,-65.011,90,top
U1,92.202,-44.958,270,top
U2,106.273,-51.308,0,bottom
U3,86.991,-51.3368,0,bottom
U4,80.264,-41.656,270,bottom
U5,97.749,-50.458,0,bottom
U6,78.613,-50.458,0,bottom
U8,115.316,-31.2295,270,bottom
